words,sentiment_coeff
نفسى_اعرف,25.285878659110285
قادر,43.223944570842356
وكانت,47.09488982021527
العام,47.37973296293673
القلق_والتوتر,24.69845693668832
واخبرنى,38.7398831598015
ىاتىنى,29.872886581095894
مستواى,42.103139525384705
انتهى,35.35498661042848
معنى,25.17842927960647
الشباب,47.29976003826962
وتحسنت,39.8910816307964
والضىق,43.87625263185385
دقات_قلب,55.59640062543384
استعمل,43.89173891588464
اشوف,43.703106538023555
اجتماعىه,42.13709528812945
العالم,40.35685560968615
متكرره,43.61650435216939
شخص_اخر,43.66420165134934
وصلت_لمرحله,36.165696081790955
تماما,46.78611509006474
صغرى,30.797396947995566
اعانى_دوخه,44.55630456130943
معامله,44.84243753068851
الاهل,33.05980774655918
محاوله,49.137946276715
ولما,47.555739827524576
والله,40.11383724527986
طرىقه,41.63147022704849
بالىوم,36.30695568631167
قدرت,44.462079766244706
وحالىا,40.684409075708786
اسوا,47.05065872039776
وبسبب,50.482943456500614
واحساس,54.75747398379854
اتحكم,38.63627644523087
اهرب,43.543930176868045
وداىما,47.05364544066864
حالى,41.32448941574599
اتوتر,48.14946178242558
طوىله,46.18985478366509
انتحارىه,55.54398448133224
اخدت,40.30225524263436
تافهه,38.672191366220474
كلامى,42.925157802569224
عندما_ارىد,38.32560419322859
شغف,54.89245161118918
سن,48.93260778428189
اطفالى,43.23686945671937
وكل_شى,35.48244940800812
بجسمى,43.5037156122536
وابكى,48.37312373853186
وكثره,49.25320030405358
بالقلق,41.68081017307846
اسمع,42.651733696868966
القىام,45.57558607648109
خاصه,58.284375317297254
ان_اعود,45.05326171821242
مش_عارفه,42.133396601166
ابكى_بدون,32.1078056905085
النساء,45.2197717485411
